folder,subfolder,plate_text,timestamp,image_path
CAM_19,2025-07-13T10+0300,LOSAC,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame450_LOSAC.jpg
CAM_19,2025-07-13T10+0300,Tka,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame470_Tka.jpg
CAM_19,2025-07-13T10+0300,Fsac,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame480_Fsac.jpg
CAM_19,2025-07-13T10+0300,cobaa,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame480_cobaa.jpg
CAM_19,2025-07-13T10+0300,FOL,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame490_FOL.jpg
CAM_19,2025-07-13T10+0300,Fokfka,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame500_Fokfka.jpg
CAM_19,2025-07-13T10+0300,1,2025-07-13 10:04:27,detected_vehicles/20250713_100427_frame510_1.jpg
CAM_19,2025-07-13T09+0300,6e,2025-07-13 09:44:27,detected_vehicles/20250713_094427_frame10_6e.jpg
CAM_19,2025-07-13T07+0300,0,2025-07-13 07:34:13,detected_vehicles/20250713_073413_frame140_0.jpg
CAM_19,2025-07-13T03+0300,9n448,2025-07-13 03:23:29,detected_vehicles/20250713_032329_frame30_9n448.jpg
CAM_19,2025-07-13T03+0300,cnand,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame220_cnand.jpg
CAM_19,2025-07-13T03+0300,4,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame230_4.jpg
CAM_19,2025-07-13T03+0300,canand,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame250_canand.jpg
CAM_19,2025-07-13T03+0300,anana,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame270_anana.jpg
CAM_19,2025-07-13T03+0300,aaany,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame280_aaany.jpg
CAM_19,2025-07-13T03+0300,9onuno,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame290_9onuno.jpg
CAM_19,2025-07-13T03+0300,BunuD,2025-07-13 03:22:27,detected_vehicles/20250713_032227_frame310_BunuD.jpg
CAM_19,2025-07-13T03+0300,9anany,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame10_9anany.jpg
CAM_19,2025-07-13T03+0300,9a45,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame40_9a45.jpg
CAM_19,2025-07-13T03+0300,98num9,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame60_98num9.jpg
CAM_19,2025-07-13T03+0300,0,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame80_0.jpg
CAM_19,2025-07-13T03+0300,9un,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame100_9un.jpg
CAM_19,2025-07-13T03+0300,99100,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame140_99100.jpg
CAM_19,2025-07-13T03+0300,0,2025-07-13 03:23:05,detected_vehicles/20250713_032305_frame180_0.jpg
CAM_19,2025-07-12T20+0300,Q8 .37:40,2025-07-12 20:11:41,detected_vehicles/20250712_201141_frame200_Q83740.jpg
CAM_19,2025-07-12T20+0300,Qf :37:42,2025-07-12 20:11:41,detected_vehicles/20250712_201141_frame210_Qf3742.jpg
CAM_19,2025-07-12T19+0300,Do,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame30_Do.jpg
CAM_19,2025-07-12T19+0300,Houne,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame40_Houne.jpg
CAM_19,2025-07-12T19+0300,pol,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame50_pol.jpg
